OID,Source,Site Name,Address,City,Zip,ZipTxt,Hours of Operation,HoursJSON,Google Calendar JSON,Website,Phone,Email,lat,lng
1,GBFB Member Agency,Trinity Baptist Church Food Pantry,1367 Main St.,Brockton,02301,02301,1st & 2nd Tue of mo. 4-6pm,"""repeats"" : ""Monthly"",
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Tuesday"",
""startsOn"" : ""06/04/2013""
""start"": ""16:00""
""end"" : ""18:00""
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Tuesday"",
""startsOn"" : ""06/11/2013""
""start"": ""16:00""
""end"" : ""18:00""","{
 ""kind"": ""calendar#events"",
 ""etag"": ""\""78Bu1G8fWt0vPGZK2Ckfad3ZtNE/LL_fi6gueyUnQxmE7JyUFtrjZ54\"""",
 ""summary"": ""Food Pantries"",
 ""description"": """",
 ""updated"": ""2013-06-01T19:17:55.918Z"",
 ""timeZone"": ""America/New_York"",
 ""accessRole"": ""reader"",
 ""items"": [
  {
   ""kind"": ""calendar#event"",
   ""etag"": ""\""78Bu1G8fWt0vPGZK2Ckfad3ZtNE/MTM3MDExMzI2MjUzNjAwMA\"""",
   ""id"": ""hqa0ae3up4tkhvpil4kr4i2kgo"",
   ""status"": ""confirmed"",
   ""htmlLink"": ""https://www.google.com/calendar/event?eid=aHFhMGFlM3VwNHRraHZwaWw0a3I0aTJrZ29fMjAxMzA2MDRUMjAwMDAwWiBhcmpiaWdjOXBqMXVwNGhtbmhxOHVrMzk5Y0Bn"",
   ""created"": ""2013-06-01T17:44:32.000Z"",
   ""updated"": ""2013-06-01T19:01:02.536Z"",
   ""summary"": ""Trinity Baptist Church Food Pantry"",
   ""creator"": {
    ""email"": ""jodyschechter@gmail.com""
   },
""organizer"": {
    ""email"": ""arjbigc9pj1up4hmnhq8uk399c@group.calendar.google.com"",
    ""displayName"": ""Food Pantries"",
    ""self"": true
   },
   ""start"": {
    ""dateTime"": ""2013-06-04T16:00:00-04:00"",
    ""timeZone"": ""America/New_York""
   },
   ""end"": {
    ""dateTime"": ""2013-06-04T18:00:00-04:00"",
    ""timeZone"": ""America/New_York""
   },
   ""recurrence"": [
    ""RRULE:FREQ=MONTHLY;BYDAY=1TU""
    ""RRULE:FREQ=MONTHLY;BYDAY=2TU""
   ],
   ""transparency"": ""transparent"",
   ""iCalUID"": ""hqa0ae3up4tkhvpil4kr4i2kgo@google.com"",
   ""sequence"": 3
  },",,508-588-4668,,42.0582175,-71.013645
2,GBFB Member Agency,A Better Tomorrow,3 Charleton St.,Everett,02149,02149,1st & 3rd Mo. Of mo. 10am-4pm,"""repeats"" : ""Monthly"",
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Monday"",
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Monday"",
""startsOn"" : ""06/10/2013""
""start"": ""10:00""
""end"" : ""16:00""","{
   ""kind"": ""calendar#event"",
   ""etag"": ""\""78Bu1G8fWt0vPGZK2Ckfad3ZtNE/MTM3MDExMzM1MDc1OTAwMA\"""",
   ""id"": ""6d7s2iq4cb8laq9sq3atc3osc4"",
   ""status"": ""confirmed"",
   ""htmlLink"": ""https://www.google.com/calendar/event?eid=NmQ3czJpcTRjYjhsYXE5c3EzYXRjM29zYzRfMjAxMzA2MDNUMTQwMDAwWiBhcmpiaWdjOXBqMXVwNGhtbmhxOHVrMzk5Y0Bn"",
   ""created"": ""2013-06-01T19:02:30.000Z"",
   ""updated"": ""2013-06-01T19:02:30.759Z"",
   ""summary"": ""A Better Tomorrow"",
   ""creator"": {
    ""email"": ""jodyschechter@gmail.com""
   },
   ""organizer"": {
    ""email"": ""arjbigc9pj1up4hmnhq8uk399c@group.calendar.google.com"",
    ""displayName"": ""Food Pantries"",
    ""self"": true
   },
   ""start"": {
    ""dateTime"": ""2013-06-03T10:00:00-04:00"",
    ""timeZone"": ""America/New_York""
   },
   ""end"": {
    ""dateTime"": ""2013-06-03T16:00:00-04:00"",
    ""timeZone"": ""America/New_York""
   },
   ""recurrence"": [
    ""RRULE:FREQ=MONTHLY;BYDAY=1MO""
    ""RRULE:FREQ=MONTHLY;BYDAY=3MO""
    ""RRULE:FREQ=WEEKLY;BYDAY=SA""
   ],
   ""iCalUID"": ""6d7s2iq4cb8laq9sq3atc3osc4@google.com"",
   ""sequence"": 0
  }",http://www.abticharity.org/,978-387-2542,info@abtservices.org,42.3998035,-71.0640121
3,Unaffiliated,Millis Ecumenical Food Pantry,142 Exchange St.,Millis,02054,02054,1st & 3rd Wed. of mo. Every Sat. 10am-12pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Saturday""]
""startsOn"" : ""06/01/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Wednesday"",
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""12:00""
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Wednesday"",
""startsOn"" : ""06/12/2013""
""start"": ""10:00""
""end"" : ""12:00""",,,508-376-5034,,42.1700115,-71.3596806
4,GBFB Member Agency,"The Cupboard of Kindness, Inc.",PO Box 874,Norton,02766,02766,1st and 3rd M. of mo. 4:30-6:30pm,"""repeats"" : ""Monthly"",
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Monday"",
""startsOn"" : ""06/03/2013""
""start"": ""16:30""
""end"" : ""18:30""
""repeats"" : ""Monthly"",
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Monday"",
""startsOn"" : ""06/17/2013""
""start"": ""16:30""
""end"" : ""18:30""",,http://www.cupboardofkindness.org/,508-285-3398,cupboardofkindness@yahoo.com,41.9629235,-71.1804988
5,GBFB Member Agency,Sharing a Blessing,PO Box 79007,Dartmouth,02747,02747,1st and 3rd Sun. of mo. 7:30-10am,"""repeats"" : ""Monthly"",
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""Sunday"",
""startsOn"" : ""06/02/2013""
""start"": ""7:30""
""end"" : ""10:00""
""repeats"" : ""Monthly"",
""repeatsEvery"" : ""7"",
""repeatsBy"" : ""sunday"",
""startsOn"" : ""06/16/2013""
""start"": ""7:30""
""end"" : ""10:00""",,http://www.sharingablessing.org/,774-264-8301,,41.724548,0
6,Unaffiliated,Yarmouth Senior Center Brown Bag Program,528 Forrest Rd.,W. Yarmouth,02673,02673,1st F of mo.: 2-4,"""repeats"" : ""Monthly"",
""repeatsEvery"" : ""30"",
""repeatsBy"" : ""Friday"",
""startsOn"" : ""06/07/2013""
""start"": ""14:00""
""end"" : ""16:00""",,,,,41.682303,-70.218258
7,GBFB Member Agency,Finex House,95 McBride St.,Jamaica Plain,02130,02130,24 hrs.,"""repeats"" : ""Daily"",
""repeatsEvery"" : ""1"",
""startsOn"" : ""06/01/2013""
""start"": ""12:00""
""end"" : ""12:00""",,http://finexhouse.org/,617-436-2002,finex@finexhouse.org,42.3061105,-71.1114351
8,GBFB Member Agency,Hanson Emergency Food Pantry,214 Main St.,Hanson,02341,02341,"2nd & 4th Tue of mo. 10:30-12, Tue: 6-8pm",,,,781-293-3502,,42.0426341,-70.8500446
9,GBFB Member Agency,Raynham Food Basket,494 Church St.,Raynham,02767,02767,"2nd & 4th W. of mo. 9:30am-11am, 4-6pm",,,,508-823-1104,,41.898761,-71.003834
10,GBFB Member Agency,Hingham Interfaith Food Pantry,685 Main St.,Hingham,02043,02043,"2nd and 4th W. of mo: 2-4:30pm, Tue: 9am-12pm",,,,781-740-8180,,42.2109866,-70.8836623
11,GBFB Member Agency,St. Martin's Food Pantry,136 Rivet St. PO Box 40148,New Bedford,02744,02744,"2nd and last Sat. 10-11, last Thu: 5-6pm",,,http://stmartinsma.org/,508-994-8972,,41.6207195,-70.9237903
12,GBFB Member Agency,Greater Anointing Church Pantry,20 Charlotte St.,Dorchester,02121,02121,2nd Sat. of mo. 10am-12pm,,,,617-287-2144,,42.29994,-71.085129
13,GBFB Member Agency,Foods for Friends Pantry,900 Main St.,Brockton,02301,02301,2nd Sat. of mo. 9am-11am,,,,508-586-9021,,42.0677143,-71.0169395
14,GBFB Member Agency,Full Gospel Tabernacle Food Pantry,441 Main St.,Brockton,02301,02301,2nd Tue of mo. 9am-12,,,,508-427-1620,,42.0768778,-71.019619
15,CofBoston,Pond St./M.M. Collins Apts.,29 Pond St.,Jamaica Plain,02130,02130,2nd Tue. of mo. 2:30 – 3:30 PM,,,http://www.fairfoods.org/dollarbag.html,,,42.3149385,-71.1150749
16,CofBoston,Western Ave. Baptist Church,299 Western Ave.,Cambridge,02139,02139,2nd W of mo. 10:00 a.m.-12:00 p.m.,,,,617-661-0433,,42.364585,-71.1128003
17,GBFB Member Agency,Gethsemane Seventh Day Adventist Church Pantry,34 Nilsson St.,Brockton,02301,02301,2nd W. of mo. 10am-1pm,,,http://gethsemane22.adventistchurchconnect.org/,508-587-4343,,42.0676341,-71.018575
18,GBFB Member Agency,Fall River Portuguese Seventh-Day Adventist Church,3538 N. Main St.,Fall River,02760,02760,2nd W. of mo. 6-7pm,,,http://fallriverportuguese22.adventistchurchconnect.org/,508-675-2332,,41.744093,-71.127557
19,GBFB Member Agency,Emmanuel Temple Church Food Pantry,471 Warren St.,Dorchester,02121,02121,2nd W. of mo.12-2pm,,,,617-442-8500,,42.3151031,-71.0834402
20,GBFB Member Agency,Bread of Life Everett Food Pantry,460 Broadway,Everett,02149,02149,3rd & 4th Thu: 3-5pm,,,,781-397-0404,,42.40779,-71.05531
21,Unaffiliated,Wachusett Food Pantry,56 Boydon Rd.,Holden,01520,01520,"3rd Sat. of mo. 9-11am, 3rd Fri. of mo. 10-11:30am",,,,508-829-2749,,42.349656,-71.857482
22,GBFB Member Agency,Bethany Gospel Chapel,Lindsey Lane,Swansea,02777,02777,3rd Sat. of mo. 9am-11am,,,http://www.bethanygospelchapel.com/,508-675-0273,,41.7311412,-71.19595
23,GBFB Member Agency,Lincoln Congregational Church,13 Wales Ave.,Brockton,02301,02301,3rd Thu of mo. 3-6pm,,,http://www.lccofbrockton.org/,508-587-8219,,42.0795329,-71.020724
24,CofBoston,ABCD Headstart,19 Corinth St,Roslindale,02131,02131,Alt Wed. 3:00-4:00,,,http://www.fairfoods.org/dollarbag.html,617-348-6000,,42.2863093,-71.1300942
25,CofBoston,Back of the Hill Apartments,100 S. Huntington Ave.,Jamaica Plain,02130,02130,Alt. Fri. 11:30 – 12:30,,,http://www.fairfoods.org/dollarbag.html,617-232-7606,http://www.backofthehillapartments.com/,42.329312,-71.110424
26,CofBoston,Bellflower Apartments,24 Bellflower St.,Dorchester,02125,02125,Alt. Fri. 12 – 1 PM,,,http://www.fairfoods.org/dollarbag.html,,,42.3242819,-71.058714
27,CofBoston,Hawthorne Youth Center,9 Fulda St.,Roxbury,02119,02119,Alt. Fri. 5:30 – 6:30 PM,,,http://www.fairfoods.org/dollarbag.html,617-427-0613,,42.3231197,-71.0923693
28,CofBoston,Cardinal Medeiros Manor,11 Woodcliff St,Dorchester,02125,02125,Alt. Thu. 1:30 - 2:30,,,http://www.fairfoods.org/dollarbag.html,617-445-8004,,42.315864,-71.0775759
29,CofBoston,Marcus Garvey Apartments,44 John Eliot Sq.,Roxbury,02119,02119,Alt. Thurs 1:30 - 2:30,,,http://www.fairfoods.org/dollarbag.html,,,42.3151978,-71.0913748
30,CofBoston,Franklin Hill/Wayne Apartments,140 American Legion Highway,Dorchester,02124,02124,Alt. Wed. 1:00-2:00,,,http://www.fairfoods.org/dollarbag.html,,,42.295076,-71.091071
31,CofBoston,Vietnamese Comm. Center,42 Charles St.,Dorchester,02122,02122,Alt. Wed. 10:30 – 11:30 AM,,,http://www.fairfoods.org/dollarbag.html,617-288-7344,,42.3000498,-71.0634432
32,CofBoston,Nate Smith House,155 Lamartine St.,Jamaica Plain,02130,02130,Alt. Wed. 11 – 12,,,http://www.fairfoods.org/dollarbag.html,617-522-3750,,42.318204,-71.1043421
33,CofBoston,Cobble Hill Apts,74 Washington St,Somerville,02143,02143,Alt. Wed. 12:30 – 1:30 PM,,,http://www.fairfoods.org/dollarbag.html,,,42.3816072,-71.0842205
34,CofBoston,Lower Mills Apartments,1245 Adams St.,Dorchester,02124,02124,Alt. Wed. 3:30 – 4:30 PM,,,http://www.loftsatlowermills.com/,617-833-5533,,42.271139,-71.0686335
35,CofBoston,Warren Gardens,45 Walnut Ave.,Roxbury,02119,02119,Alt. Wed. 5:30 - 6:30,,,http://www.fairfoods.org/dollarbag.html,617-427-1919,,42.323533,-71.084347
36,GBFB Member Agency,Berea Church Pantry,108 Seaver St.,Dorchester,02121,02121,By appt.,,,,781-986-3971,,42.310402,-71.0921259
37,Unaffiliated,Mashpee Tribal Council Pantry,483 Great Neck Rd.,Mashpee,02649,02649,"Every other M, W: 10-2",,,,,,41.595501,-70.480953
38,GBFB Member Agency,Saint Vincent de Paul/St. Joseph's Parish Food Pantry,40 Green St.,Lynn,01902,01902,every other W. 9-5,,,,781-593-8049,,42.466824,-70.939271
39,CofBoston,Adams Templeton,455 Adams St,Dorchester,02122,02122,F: 1:30 - 2:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/07/2013""
""start"": ""9:00""
""end"" : ""12:00""",,http://www.fairfoods.org/dollarbag.html,617-282-7705,,42.2937097,-71.0570838
40,CofBoston,Franklin Park Villa Co-Op,131 Morton St.,Jamaica Plain,02130,02130,F: 10:30 – 11:30 AM,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/17/2013""
""start"": ""10:30""
""end"" : ""11:30""",,http://www.fairfoods.org/dollarbag.html,617-983-5554,,42.300252,-71.1063887
41,GBFB Member Agency,St. Lawrence Parish Food Pantry,110 Summer St.,New Bedford,02740,02740,"F: 10:30am, 11:30am","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/07/2013""
""start"": ""10:30""
""end"" : ""11:30""",,,508-992-4251,stloffice@saintlawrencemartyr.com,41.638943,-70.931729
